"eword","hword","egrammar"
"geographical","भौगोलिक","Adjective"
"geographical","भूगोल सम्बन्धी","Adjective"
"geographical","भूगोल 
संबंधी","Adjective"
"geographical","भू अर्जन","Adjective"
"geographical","भूगोल संबंधी","Adjective"
"geographically","भौगोलिक रूप से","Adverb"
"geographically","भौगोलिक रूप 
से","Adverb"
"geography","भूगोल","Noun"
"geological","भूगर्भीय","Adjective"
"geological","भूविज्ञानी","Adjective"
"geological","भौमकीय","Adjective"
"geological","भूतत्वीय","Adjective"
"geologically","भूविज्ञान 
की दृष्टि 
से","Adverb"
"geologically","भूविज्ञान की दृष्टि से","Adverb"
"geologist","भूवैज्ञानिक","Noun"
"geology","भूविज्ञान","Noun"
"geology","भौमिकी","Noun"
"geology","भूतत्विकी","Noun"
"geology","भूगर्भ शास्त्र","Noun"
"geology","भूगर्भ विद्या","Noun"
"geology","भूतत्व","Noun"
"geomagnetism","भुचुम्बकतव","Noun"
"geometric","ज्यामितीय","Adjective"
"geometric 
progression","ज्यामितीय 
श्रेणी","Noun"
"geometric progression","ज्यामितीय श्रेणी","Noun"
"geometric progression","ज्यामितीय श्रेढ़ी","Noun"
"geometrically","ज्यामितीय दृष्टि 
से","Adverb"
"geometrically","ज्यामितीय ढंग से","Adverb"
"geometrically","ज्यामितीय दृष्टि से","Adverb"
"geometrically","ज्यामितीय ढंग 
से","Adverb"
"geometricl","ज्यामितीय","Noun"
"geometry","रेखागणित","Noun"
"geometry","ज्यामिति","Noun"
"geophysical","भूभौतिकीय","Adjective"
"geophysicist","भूभौतिकीवेत्ता","Noun"
"geophysics","भूभौतिकी","Noun"
"geopolitical","भूराजनीतिक","Adjective"
"geopolitics","भूराजनीति","Noun"
"george","जर्ज","Noun"
"george herbert hitchings","ल्यूकेमिया और गठिया की दवा ढूंढने वाला प्रथम व्यक्ति","noun"
"george washington","जर्ज वाशिंग्टन","Noun"
"george westinghouse","जर्ज वेस्टिंगहाउस","Noun"
"georgette","पतली रेशमी कपड़ा","Noun"
"georgian","ब्रिटिश बादशाह जोर्ज के समय का","Adjective"
"georgian","जर्जकालीन","Noun"
"geosphere","भूमंडल","Noun"
"geosphere","मृदामंडल","Noun"
"geostationary satellite","भूस्थिर उपग्रह","Noun"
"geostationary satellite","भूस्थिर 
उपग्रह","Noun"
"geraint","अर्थुरियन दंतकथा का एक पात्र","noun"
"geranium","जरेनियम","Noun"
"geranium","कषायमूल","Noun"
"geranium maculatum","जरेनियम मैक्युलेटम","Noun"
"geriatric","वृद्ध संबंधी","Adjective"
"geriatric","जराचिकित्सीय","Adjective"
"geriatric","बूढ़ा","Adjective"
"geriatrician","जराचिकित्सकअ","Noun"
"geriatrics","जराचिकित्सा","Noun"
"germ","आधार","Noun"
"germ","अंकुर","Noun"
"germ","जीवाणु","Noun"
"germ","जीवाण्","Noun"
"germ","जर्म","Noun"
"germ","किटाणु","Noun"
"germ 
warfare","कीटाणु युद्ध","Noun"
"germ warfare","कीटाणु युद्ध","Noun"
"german","जर्मनी वासी","Noun"
"german","जर्मन देश का निवासी","Noun"
"german","जर्मनी से","Adjective"
"german","जर्मन भाषा","Noun"
"german","जर्मनी का","Noun"
"german","जर्मनी 
का","Noun"
"german","जर्मनी 
वासी","Noun"
"german cockroach","जर्मन तिलचिट्टा","Noun"
"german measles","जर्मन रोमांतिका","Noun"
"german measles","हल्का खसरा","Noun"
"german measles","जर्मन खसराआ","Noun"
"german measles","जर्मन 
रोमांतिका","Noun"
"german shepherd","जर्मन 
शेफर्ड","Noun"
"german shepherd","जर्मन शेफर्ड","Noun"
"germane","संबन्धित","Adjective"
"germane","मूल तात्विक","Adjective"
"germanic","जर्मनी जैसा","Noun"
"germanic","जर्मनिक भाषा परिवार संबंधी","Noun"
"germanic","जर्मनी 
जैसा","Noun"
"germany","जर्मनी","Noun"
"germinate","अंकुरित होना","Verb"
"germinate","उगना/अंकुरित होना","IntransitiveVerb"
"germinate","अंकुरित 
होना","Verb"
"germinated","अंकुरित","Verb"
"germinated gram","अंकुरित चना","Verb"
"germination","सितारा मछली","Noun"
"germination","अंकुरण","Noun"
"germination stratum","अंकुरण स्तर","Noun"
"germplasm","जनन्द्रव","Noun"
"gernearl certificate of 
secondary 
education","माध्यमिक शिक्षा सामान्य प्रमाणपट्र परीक्षा","Noun"
"gernearl certificate of secondary education","माध्यमिक शिक्षा सामान्य प्रमाणपट्र परीक्षा","Noun"
"gerontology","सितारा मछली","Noun"
"gerontology","जराविज्ञान","Noun"
"gerrymander","गोलमाल करना","Verb"
"gerrymander","जेरिमैंडर करना","Verb"
"gerrymander","जेरिमैंडर 
करना","Verb"
"gerrymandering","जेरिमैंडर","Verb"
"gerund","क्रियावाचक 
संज्ञा","Noun"
"gerund","क्रियावाचक संज्ञा","Noun"
"gessing","अंदाज़","Noun"
"gestalt","समष्टि","noun"
"gestapo","गेस्टापो","Noun"
"gestapo","नाज़ी पार्टी की खुफिया पुलिस","Noun"
"gestation","गर्भावस्था","Noun"
"gestation","गर्भ काल","Noun"
"gestation","विकास प्रक्रिया","Noun"
"gestation","गर्भावधि","Noun"
"gestation period","गर्भावधि","Noun"
"gestation period","पक्वनावधि","Noun"
"gestation period","गर्भावस्था काल","Noun"
"gesticulate","इशारा करना","Verb"
"gesticulate","इशारा 
करना","Verb"
"gesticulate","भंगिमा प्रदर्शन","Verb"
"gesticulate","भंगिमा दिखाना","Verb"
"gesticulate","भंगिमा दर्शाना","Verb"
"gesticulate","भाव भंगिमा दिखाना","Verb"
"gesticulate","भाव भंगिमा दर्शाना","Verb"
"gesticulate","हावभाव दिखाना","Verb"
"gesticulate","हावभाव दर्शाना","Verb"
"gesticulate","हाव भाव दर्शाना","Verb"
"gesticulate","चेष्टा करना","Verb"
"gesticulation","इशारा","Noun"
"gesticulation","चेष्टा","Noun"
"gesticulation","भाव प्रदर्शन","Noun"
"gesticulation","भाव भंगिमा प्रदर्शन","Noun"
"gesticulation","हावभाव प्रदर्शन","Noun"
"gesticulation","अंग विक्षेपण","Noun"
"gesticulation","अंगभमंगिमा","Noun"
"gesticulation","अंगविक्षेप","Noun"
"gestural","सांकेतिक","Adjective"
"gesture","मुद्रा","Noun"
"gesture","इशारा करना","Verb"
"gesture","भाव 
भंगिमा","Noun"
"gesture","भाव","Noun"
"gesture","भाव भंगिमा","Noun"
"gesture","भाव प्रदर्शन","Noun"
"gesture","भाव से 
व्यक्त","Noun"
"gesture","भंगिमा","Verb"
"gesture","इंगित करना","verb"
"gesture","भाव से व्यक्त","Noun"
"gesture","हाव भाव","Verb"
"gesture","अंग विक्षेप","Noun"
"get","करना","Verb"
"get","होना","Verb"
"get","पाना","Verb"
"get","बदला लेना","Verb"
"get","सुनना","Verb"
"get","प्राप्त करना","Verb"
"get","लगाना","Verb"
"get","मिलना","Verb"
"get","देना","Verb"
"get","समझना","Verb"
"get","उकसाना","Verb"
"get","मौक़ा मिलना","Verb"
"get","निकलना","Verb"
"get","रहना","Verb"
"get","तैयार 
करना","Verb"
"get","ले 
जाना","Verb"
"get","जन्म देना","Verb"
"get","लाना","Verb"
"get","ला देना","Verb"
"get","लगना","Verb"
"get","जाना","Verb"
"get","पकड़ लेना","Verb"
"get","उतरना","Verb"
"get","फाँसना","Verb"
"get","बरबाद करना","Verb"
"get","जीतना","Verb"
"get","तैयार करना","Verb"
"get","प्रभावित करना","Verb"
"get","प्रेरित करना","Verb"
"get","बनाना","Verb"
"get","डालना","Verb"
"get","लेना","Verb"
"get","गुस्सा दिलाना","Verb"
"get","जानना","Verb"
"get","हो जाना","Verb"
"get","बटोरना","Verb"
"get","पकड़ना","Verb"
"get","राजी कर लेना","Verb"
"get","याट्रा 
करना","Verb"
"get","ले जाना","Verb"
"get","हासिल करना","Verb"
"get","प्राप्त 
करना","Verb"
"get","याट्रा करना","Verb"
"get","कमाना","Verb"
"get","भेजना","Verb"
"get","करवाना","Verb"
"get","मारना","Verb"
"get","उलझन में डालना","Verb"
"get","बात करना","Verb"
"get","ले 
जाएना","Verb"
"get","आउट करना","Verb"
"get","प्रेरित 
करना","Verb"
"get","खा लेना","Verb"
"get","हो 
जाना","Verb"
"get","पकाना","Verb"
"get","सुनाई देना","Verb"
"get","ले जाएना","Verb"
"get","लगा पाना","Verb"
"get","बरबाद 
करना","Verb"
"get","लगा 
पाना","Verb"
"get","सज़ा 
मिलना","Verb"
"get","मुसीबत में डालना","Verb"
"get","राज़ी 
करना","Verb"
"get","मालूम करना","Verb"
"get","लना","Verb"
"get","बदला 
लेना","Verb"
"get","सुझना","Verb"
"get","सज़ा होना","Verb"
"get","कराना","Verb"
"get","ला 
देना","Verb"
"get","सुनाई 
देना","Verb"
"get","सज़ा मिलना","Verb"
"get","प्रभवित करना","Verb"
"get","रख्ना","Verb"
"get","प्रभवित 
करना","Verb"
"get","राजी कर 
लेना","Verb"
"get","खरिदना","Verb"
"get","पहुँचना","Verb"
"get","चिढाना","Verb"
"get","छोड़ना","Verb"
"get","राजी करना","Verb"
"get","फसाना","Verb"
"get","पहुं़चाना","Verb"
"get 
along","मिलजुल कर रहना","Verb"
"get 
at","आलोचना करना","Verb"
"get 
away","निकलना","Verb"
"get 
burnt away","जलना","Verb"
"get 
finger out","तेज़ी से काम करना","Verb"
"get 
into","मजा लेना","Verb"
"get 
knickers in a twist","घबड़ाना","Verb"
"get 
knickers in a twist","क्रोधित होना","Verb"
"get 
lines crossed","ठीक से समझ नहीं पाना","Verb"
"get 
lost","दफा होना","Verb"
"get 
off","प्रस्ठान करना","Verb"
"get 
on","मिल कर रहना","Verb"
"get 
out","कठिनाई से बोलना","Verb"
"get 
out while the going is good","अनुकूल समय में स्थान छोड़ देना","Verb"
"get 
own way","अपनी बात मनवाना","Verb"
"get 
somewhere","कुछ प्राप्त करना","Verb"
"get 
stuck into","उत्साह से में लगना","Verb"
"get 
talked about","कीचड़ उछालना","Verb"
"get 
the elbow","दुत्कार दियाना","Verb"
"get 
there","सफल होना","Verb"
"get 
through","समझना","Verb"
"get 
through","पूरा करना","Verb"
"get 
through","पारित होना","Verb"
"get 
through","पहुँचना","Verb"
"get 
typecast as","की भूमिका मिलना","Verb"
"get a 
dirty look","घृणा से देखना","Verb"
"get a 
line on","सूचना मिलेना","Verb"
"get a big hand","ज़ोरदार प्रशंसा पाना","Verb"
"get a dirty look","घृणा से देखना","Verb"
"get a fair hearing","मत स्पष्ट करने का अवसर पाना","Verb"
"get a foot 
in the door","घुसना","Verb"
"get a foot in the door","घुसना","Verb"
"get a free hand","खुली छूट मिलना","Verb"
"get a grip on","पर क़ाबू रखना","Verb"
"get a handle on","समझना","Verb"
"get a hold on","पर क़ाबू पाकर सुधारना","Verb"
"get a hold on","पर क़ाबू रखना","Verb"
"get a hold on","पर क़ाबू पाकर 
सुधारना","Verb"
"get a line on","सूचना मिलेना","Verb"
"get a load of","देखना","Verb"
"get a look in","मौक़ा मिलना","Verb"
"get a move on","जल्दी 
करना","Verb"
"get a rap on the 
knuckles","फटकार पाना","Verb"
"get a rap on the knuckles","फटकार पाना","Verb"
"get a rap over the knuckles","फटकार पाना","Verb"
"get a rise out of","भड़काना","Verb"
"get a rocket","डाँट पड़ना","Verb"
"get a temperature","बुखार होना","Verb"
"get a thick ear","कान पर एक हाथ देना","Verb"
"get a thick ear","कानचट्टी खाना","Verb"
"get a thick ear","कान पर एक हाथ 
देना","Verb"
"get a word in edgeways","बात टोकना","Verb"
"get a word in edgeways","बात 
टोकना","Verb"
"get about","फैल जाना","PhrasalVerb"
"get about","चलना फिरना","PhrasalVerb"
"get act 
together","अच्छी तरह से संगठित होना","Verb"
"get act together","अच्छी तरह से संगठित होना","Verb"
"get afloat","पानी में उतारना","Verb"
"get afloat","पानी में 
उतारना","Verb"
"get all steamed up","गुस्सा होना","Verb"
"get along","आगे बढना","Verb"
"get along","मिलजुल कर रहना","Verb"
"get along famously","एक ही मुलाकात में घुअल् मिलना","Verb"
"get along famously","एक ही मुलाकात 
में घुअल् मिलना","Verb"
"get along with you","हरगीज़ नहीं","Noun"
"get an 
eyeful of","आकर्षक दृश्य देखना","Verb"
"get an airing","प्रस्तुत करना","Verb"
"get an eyeful of","आकर्षक दृश्य देखना","Verb"
"get anywhere","कुछ प्राप्त करना","Verb"
"get around","छुटकारा पाना","Verb"
"get at","पहुँचाना","Verb"
"get at","आलोचना करना","Verb"
"get at","मालूम करना","Verb"
"get at","तक पहुँचना","Verb"
"get away","प्रस्थान करना","PhrasalVerb"
"get away","निकलना","Verb"
"get away","भाग जाना","PhrasalVerb"
"get away","फरार 
होना","Verb"
"get away","बच जाना","Verb"
"get away","चले जाना","PhrasalVerb"
"get away","फरार होना","Verb"
"get away","दूर जाना","Verb"
"get away from it 
all","छुट्टी मनानेना","Verb"
"get away from it all","छुट्टी मनानेना","Verb"
"get away with murder","लोगों की आँखों में धूल 
झोंकने में सफल होना","Verb"
"get away with murder","लोगों की आँखों में धूल झोंकने में सफल होना","Verb"
"get away with you","हरगीज़ नहीं","Noun"
"get back","बदला लेना","PhrasalVerb"
"get back","लौटना","PhrasalVerb"
"get back","जवाब देना/पुन","PhrasalVerb"
"get back","पुनः पा लेना","Verb"
"get back","पुन","PhrasalVerb"
"get back","दुबारा प्राप्त करना","Verb"
"get back 
up","गुस्सा आना","Verb"
"get back up","गुस्सा आना","Verb"
"get bearings","आस पास से परिचित होना","Verb"
"get behind","पिछड़ना","PhrasalVerb"
"get beyond a joke","मज़ाक के बाहरना","Verb"
"get breath 
again","साँस में साँस आना","Verb"
"get breath 
back","साँस में साँस आना","Verb"
"get breath again","साँस में साँस आना","Verb"
"get breath back","साँस में साँस आना","Verb"
"get burnt 
to a crisp","जल कर कोयला होना","Verb"
"get burnt away","जलना","Verb"
"get burnt to a cinder","जल कर कोयला होना","Verb"
"get burnt to a crisp","जल कर कोयला होना","Verb"
"get by","अच्छा मान लेना","PhrasalVerb"
"get cards","नौकरी से निकाल दियाना","Verb"
"get caught up in","में अधिक रुचि लेना","Verb"
"get claws into","तीखी आलोचना करना","Verb"
"get claws into","पंजे में जकड़ कर रखना","Verb"
"get claws into","पंजे 
में जकड़ कर रखना","Verb"
"get cold 
feet","हिम्मत टूटना","Verb"
"get cold feet","हिम्मत टूटना","Verb"
"get cracking","तुरंत जुटना","Verb"
"get dolled up","सजना धजना","Verb"
"get down","उतरना","PhrasalVerb"
"get down","किसी कार्य में ध्यान लगाना","PhrasalVerb"
"get down","निराशित करना","PhrasalVerb"
"get down 
to brass tacks","मूल मुद्दों पर विचार करना","Verb"
"get down to","काम शुरू करना","Verb"
"get down to a fine art","एकदम सिद्धहस्त होना","Verb"
"get down to brass tacks","मूल मुद्दों पर विचार करना","Verb"
"get down to business","काम शुरू करना","Verb"
"get down to work","काम शुरू करना","Verb"
"get down to work","काम शुरू 
करना","Verb"
"get dressed","कपड़े पहनना","Verb"
"get egg all over 
face","मूर्ख बनना","Verb"
"get egg all over face","मूर्ख बनना","Verb"
"get egg on face","मूर्ख बनना","Verb"
"get even","बदला लेना","Verb"
"get eye in","आँखें जमना","Verb"
"get finger 
burned","जान बूझ कर मुसीबत मोल लेना","Verb"
"get finger burned","जान बूझ कर मुसीबत मोल लेना","Verb"
"get finger burnt","जान बूझ कर मुसीबत मोल लेना","Verb"
"get finger out","तेज़ी से काम करना","Verb"
"get goat","अत्यधिक चिढाना","Verb"
"get hands on","पकड़ लेना","Verb"
"get hands on","लेना","Verb"
"get hitched","शादी करना","Verb"
"get hitched with","विवाह करना","Verb"
"get hold 
of","मिलना","Verb"
"get hold of","मिलना","Verb"
"get hold of sb/sth","प्राप्त करके प्रयोग करना","Verb"
"get hold of the 
wrong end of the stick","गलत समझना","Verb"
"get hold of the wrong end of the stick","गलत समझना","Verb"
"get hooked on","पर पूरी तरह से निर्भर होना","Verb"
"get hooked on","तल्लीन होना","Verb"
"get hooked on","तल्लीन 
होना","Verb"
"get in","लाना","Verb"
"get in","भाग लेना","Verb"
"get in","घुसना","PhrasalVerb"
"get in","पेश आना","Verb"
"get in","चुना 
जाना","Verb"
"get in","काम कर लेना","Verb"
"get in","कुछ कर पाना","PhrasalVerb"
"get in","चुना जाना","Verb"
"get in","प्रवेश पाना","Verb"
"get in","पहुँचना","PhrasalVerb"
"get in 
one","तुरन्त समझना","Verb"
"get in a 
stew","चिन्तित अवस्था में पाना","Verb"
"get in a stew","चिन्तित अवस्था में पाना","Verb"
"get in a stew","चिन्तित 
अवस्था में पाना","Verb"
"get in hair","खिझाना","Verb"
"get in on","में शामिल होना","Verb"
"get in on 
the ground floor","शुरू से होना","Verb"
"get in on the 
act","अपने फ़ायदे के लिए शामिल होना","Verb"
"get in on the act","अपने फ़ायदे के लिए शामिल होना","Verb"
"get in on the ground floor","शुरूआत से शामिल होना","Verb"
"get in on the ground floor","शुरू से होना","Verb"
"get in one","तुरन्त समझना","Verb"
"get in the 
swing","परिचित होना","Verb"
"get in the swing","परिचित होना","Verb"
"get in trim","तैयार होना","Verb"
"get in trim","तैयार 
होना","Verb"
"get into","शामिल होना","Verb"
"get into","लत 
पड़ना","Verb"
"get into","प्रारम्भ करना","Verb"
"get into","मजा लेना","Verb"
"get into","लत पड़ना","Verb"
"get into","दाखिला मिलना","Verb"
"get into","असर होना","Verb"
"get into","पहनना","Verb"
"get into","वाकिफअना","Verb"
"get into","मुसीबत 
में पड़ना","Verb"
"get into","मुसीबत में पड़ना","Verb"
"get into 
shape","ठीक ठाक करना","Verb"
"get into a huddle","गुपचुप सलाह करना","Verb"
"get into bad 
company","बुरी संगति में पड़ना","Verb"
"get into bad company","बुरी संगति में पड़ना","Verb"
"get into hands","हाथ मेंना","Verb"
"get into hot water","मुसीबत में पड़्ना","Verb"
"get into line","के अनुसार चलना","Verb"
"get into shape","ठीक ठाक करना","Verb"
"get into shape","स्वस्थ बनाना","Verb"
"get into stride","काम में रमना","Verb"
"get into stride","काम में 
रमना","Verb"
"get into stuck in a groove","आदि होना","Verb"
"get into the swing","परिचित होना","Verb"
"get into the way of","की आदत लगा लेना","Verb"
"get into the way of","की 
आदत लगा लेना","Verb"
"get into trouble","मुसीबत 
में डालना","Verb"
"get into trouble","मुसीबत में डालना","Verb"
"get into trouble","गर्भित करना","Verb"
"get into trouble","मुसीबत में पड़ना","Verb"
"get it","समझ में आना","Verb"
"get it 
in the neck","कसकर मार पड़ना","Verb"
"get it in the neck","कसकर मार पड़ना","Verb"
"get it into 
head","पूरी तरह से समझना","Verb"
"get it into head","पता चलना","Verb"
"get it into head","पूरी तरह से समझना","Verb"
"get it together","नियन्ट्रित करना","Verb"
"get itchy feet","पैर में खुजलाट होना","Verb"
"get knickers in a twist","उत्तेजित होना","Verb"
"get knickers in a twist","घबड़ाना","Verb"
"get knickers in a twist","क्रोधित होना","Verb"
"get knife into","शट्रुता होना","Verb"
"get knotted","चले जाओ!","Noun"
"get lines crossed","ठीक से समझ नहीं पाना","Verb"
"get lost","दफा होना","Verb"
"get marching orders","नौकरी समापन आदेश पाना","Verb"
"get me bitten","पिटवाओगे","Noun"
"get mixed up in","शामिल होना","Verb"
"get mixed up with","के 
साथ जुड़ना","Verb"
"get mixed up with","के साथ जुड़ना","Verb"
"get moneys worth","भरपूर आनन्द लेना","Verb"
"get moneys worth","पूरा पूरा फायदा उठाना","Verb"
"get moving","काम में 
तेज़ी आना","Verb"
"get moving","चलना चाहिये","Verb"
"get moving","काम में तेज़ी आना","Verb"
"get no change out of","कोई सहायता प्राप्त नहीं करना","Verb"
"get no change out of","कोई सहायता प्राप्त नहीं 
करना","Verb"
"get nowhere","आगे नहीं बढ़ 
पाना","Verb"
"get nowhere","से कुछ भी हासिल नहीं होना","Verb"
"get nowhere","से कुछ भी हासिल नहीं 
होना","Verb"
"get nowhere","कुछ नहीं प्राप्त करना","Verb"
"get nowhere","आगे नहीं बढ़ पाना","Verb"
"get off","बंद करना","Verb"
"get off","भेजना","Verb"
"get off","बचना","PhrasalVerb"
"get off","दूर हटो","Verb"
"get off","प्रस्ठान करना","Verb"
"get off","काम रोकना","Verb"
"get off","सुलाना","Verb"
"get off","से उतरना","PhrasalVerb"
"get off","छोड़ना","PhrasalVerb"
"get off 
back","तंग मत करना","Verb"
"get off 
cheaply","आसानी से बचना","Verb"
"get off 
to a flying start","अच्छी शुरूआत होना","Verb"
"get off back","तंग मत करना","Verb"
"get off cheaply","आसानी से बचना","Verb"
"get off cheaply","सस्ते में छुटना","Verb"
"get off chest","कह कर छाती का बोझ हल्का करना","Verb"
"get off chest","कह कर छाती का 
बोझ हल्का करना","Verb"
"get off lightly","आसानी से छुटना","Verb"
"get off lightly","आसानी से बचना","Verb"
"get off lightly","आसानी 
से बचना","Verb"
"get off the ground","सफलतापूर्वक उद्घाटन करना","Verb"
"get off the ground","सफल उद्घाटन करना","Verb"
"get off the hook","छुटकारा देना","Verb"
"get off to a flying start","अच्छी शुरूआत होना","Verb"
"get off to a flying start","आरम्भ से काम अच्छी तरह होना","Idioms"
"get offend","रूठना","Verb"
"get on","आगे बढना","Verb"
"get on","लगे रहना","Verb"
"get on","जानना","Verb"
"get on","प्रबन्ध करना","Verb"
"get on","निभाना","Verb"
"get on","साथ रहना","PhrasalVerb"
"get on","प्रगति करना","PhrasalVerb"
"get on","सम्पर्क में आनाना","Verb"
"get on","सम्पर्क करना","Verb"
"get on","सम्पर्क 
करना","Verb"
"get on","मिल कर रहना","Verb"
"get on","सफल होना","Verb"
"get on famously","एक ही मुलाकात में घुअल् मिलना","Verb"
"get on famously","एक ही 
मुलाकात में घुअल् मिलना","Verb"
"get on high horse","दंभी जैसा व्यवहार करना","Verb"
"get on high horse","दंभी जैसा 
व्यवहार करना","Verb"
"get on like a house on fire","आसानी से मिट्र 
बनना","Verb"
"get on like a house on fire","आसानी से मिट्र बनना","Verb"
"get on nerves","नाक में दम कर देना","Verb"
"get on the right side of","प्रसन्न करना","Verb"
"get on the right side of","प्रसन्न 
करना","Verb"
"get on the wrong side of","परेशान करना","Verb"
"get on wick","लगातार परेशान करना","Verb"
"get on with you","हरगीज़ 
नहीं","Noun"
"get on with you","हरगीज़ नहीं","Noun"
"get one over","से लाभ उठाना","Verb"
"get onto","समझ में आना","Verb"
"get out","प्रकट होना","Verb"
"get out","निकलना","PhrasalVerb"
"get out","जाना","Verb"
"get out","पता चलना","PhrasalVerb"
"get out","कठिनाई से बोलना","Verb"
"get out","चले जाना","PhrasalVerb"
"get out 
of","छुटकारा पाना","Verb"
"get out of","छुटकारा पाना","Verb"
"get out of","से निकलना","Verb"
"get out of bed on the wrong side","सुबह से ही मिज़ाज बिगड़ा होना","Verb"
"get out of control","नियंट्रण से बाहर होना","Verb"
"get out of control","नियंट्रण से 
बाहर होना","Verb"
"get out of system","दिमाग से बाहर निकालना","Verb"
"get out of system","दिमाग से 
बाहर निकालना","Verb"
"get out of the way of","की आदत छोड़ देना","Verb"
"get out while the going is good","अनुकूल समय में स्थान छोड़ देना","Verb"
"get over","समाप्त करना","PhrasalVerb"
"get over","भूल जाना","PhrasalVerb"
"get over","उभरना","PhrasalVerb"
"get over","उबर पाना","Verb"
"get over","दुर होना","Verb"
"get own back","बदला ले लेना","Verb"
"get own back","बदला ले 
लेना","Verb"
"get own back on","से बदला ले लेना","Verb"
"get own way","अपनी बात मनवाना","Verb"
"get preferential treatment","विशेष रूप से आदर सत्कार पाना","Verb"
"get preferential treatment","विशेष रूप से आदर सत्कार 
पाना","Verb"
"get rid of","मिटा देना","Verb"
"get rid of","से छुटकारा पाना","Verb"
"get right","पूरी तरह से समझना","Verb"
"get round a person","बात मनवा लेना","Verb"
"get short shrift","पदच्युत होना","Verb"
"get shot of","से छुटकारा पाना","Verb"
"get shot of","से छुट्टी पाना","Verb"
"get shot of","से 
छुट्टी पाना","Verb"
"get sick","बीमार पड़ना","Verb"
"get sidetracked","भटकना","Verb"
"get skates on","जल्दी करना","Verb"
"get somewhere","कुछ प्राप्त करना","Verb"
"get spliced","शादी करना","Verb"
"get steamed up","गुस्सा होना","Verb"
"get stick","कटु आलोचना होना","Verb"
"get stick","कटु आलोचना 
होना","Verb"
"get straight","पूरी तरह से समझना","Verb"
"get straight","पूरी तरह से 
समझना","Verb"
"get stuck in","उत्साह से में लगना","Verb"
"get stuck into","उत्साह से में लगना","Verb"
"get stuffed","चलेना","Verb"
"get talked about","कीचड़ उछालना","Verb"
"get tanked up","बहुत पी लेना","Verb"
"get tanked up on","बहुत पीना","Verb"
"get teeth 
into","में पूरे जोश से काम करना","Verb"
"get teeth into","में पूरे जोश से काम करना","Verb"
"get tensed up","बेचैन होना","Verb"
"get the 
nod","अनुमति लेना","Verb"
"get the 
sniffles","सर्दी हो जाना","Verb"
"get the 
worst of it","हारना","Verb"
"get the best of","से बहुत अधिक फ़ायदा मिलना","Verb"
"get the best of","से बहुत अधिक फ़ायदा 
होना","Verb"
"get the best of","से बहुत अधिक फ़ायदा होना","Verb"
"get the better of","हराना","Verb"
"get the better of","जीतना","Verb"
"get the bird","हूट होना","Verb"
"get the bird","हूट 
होना","Verb"
"get the bit between teeth","मज़बूत इरादों के साथ शुरू करना","Verb"
"get the bit between teeth","मज़बूत 
इरादों के साथ शुरू करना","Verb"
"get the bit between teeth","काम से दृढतापूर्वक निपटना","Verb"
"get the bit between the teeth","मज़बूत इरादों के साथ शुरू करना","Verb"
"get the bit between the teeth","मज़बूत इरादों के साथ शुरू 
करना","Verb"
"get the boot","पदच्युत होना","Verb"
"get the cold shoulder","रूखा व्यवहार करना","Verb"
"get the cold shoulder","रूखा व्यवहार 
करना","Verb"
"get the elbow","पदच्युत होना","Verb"
"get the elbow","दुत्कार दियाना","Verb"
"get the feel of","से अच्छी तरह से परिचित होना","Verb"
"get the hang 
of","सिखना","Verb"
"get the hang of","सिखना","Verb"
"get the hell out","तुरन्त छोड़ देना","Verb"
"get the hell out 
of","तुरन्त छोड़ देना","Verb"
"get the hell out of","तुरन्त छोड़ देना","Verb"
"get the measure of","थाह लेना","Verb"
"get the message","समझना","Verb"
"get the nod","अनुमति लेना","Verb"
"get the picture","समझना","Verb"
"get the push","काम से निकालाना","Verb"
"get the run of","में खुली छूट पाना","Verb"
"get the sniffles","सर्दी हो जाना","Verb"
"get the upper 
hand","प्रभुत्व प्राप्त करना","Verb"
"get the upper hand","प्रभुत्व प्राप्त करना","Verb"
"get the wind up","डरना","Verb"
"get the wind up about","से डरना","Verb"
"get the worst of it","हारना","Verb"
"get the wrong end of the stick","गलत समझना","Verb"
"get there","सफल होना","Verb"
"get through","समझना","Verb"
"get through","समाप्त करना","Verb"
"get through","पूरा करना","PhrasalVerb"
"get through","पीना","Verb"
"get through","पार करना","PhrasalVerb"
"get through","पारित होना","Verb"
"get through","सम्पर्क करना","Verb"
"get through","बात समझाना","PhrasalVerb"
"get through","उतीर्णा होना","Verb"
"get through","पहुँचना","PhrasalVerb"
"get through","सफल होना","PhrasalVerb"
"get to grips with","पकड़कर मारना","Verb"
"get to grips with","पकड़कर 
मारना","Verb"
"get to grips with","समस्या को हल करना","Verb"
"get to the bottom of","की तह तक पहुँचना","Verb"
"get to the bottom of","की तह तक 
पहुँचना","Verb"
"get to work","कार्य प्रारंभ करना","Verb"
"get together","मिलना","PhrasalVerb"
"get together","जमघट","Noun"
"get together","एकत्र होना","PhrasalVerb"
"get together","एकत्र करना","PhrasalVerb"
"get together","नियन्ट्रित करना","Verb"
"get together","मिलनसार सभा","Noun"
"get tongue around","(कठिन शब्द का) शुद्ध उच्चारण करना","Verb"
"get tongue round","(कठिन शब्द का) शुद्ध 
उच्चारण करना","Verb"
"get tongue round","(कठिन शब्द का) शुद्ध उच्चारण करना","Verb"
"get too big for boots","मिथ्याभिमानी होना","Verb"
"get tough","सख्ती बरतना","Verb"
